500 1500
11 17 11 122
9 180 11 190
10 56 11 119
4 71 8 187
10 15 11 57
11 112 12 149
2 86 5 182
8 64 9 97
11 132 12 144
11 176 11 181
10 11 11 79
8 96 10 122
4 1 4 128
5 30 9 126
2 71 6 101
3 114 4 188
4 36 10 58
7 3 12 36
1 105 8 146
4 95 11 152
2 167 3 185
2 57 2 138
1 196 10 200
5 173 6 186
8 107 8 130
8 7 8 149
3 112 5 133
11 189 12 194
3 146 7 189
5 124 8 171
4 97 5 151
11 22 11 46
2 150 11 167
3 27 7 161
11 86 12 107
11 135 11 167
8 166 9 191
10 35 10 74
8 192 11 200
5 112 9 149
8 5 8 58
3 32 3 69
1 73 10 170
2 56 5 64
10 147 11 159
4 0 4 91
2 75 10 175
9 36 12 188
3 111 3 150
6 163 6 167
5 57 5 160
0 167 9 171
9 109 10 140
5 64 7 102
8 15 11 68
9 8 12 43
5 139 7 162
3 81 6 131
2 1 10 84
2 105 7 199
1 11 5 185
0 42 2 176
3 87 8 193
7 144 8 154
10 109 11 144
4 117 9 131
0 62 12 91
4 10 7 175
9 64 12 123
10 60 10 199
8 86 11 141
10 147 10 178
11 92 11 184
6 15 9 52
3 45 8 134
1 30 7 140
0 8 1 122
0 52 4 67
8 190 11 195
11 75 12 96
2 134 4 196
4 32 12 157
7 116 10 135
4 147 11 176
7 115 8 135
1 170 8 193
10 126 10 134
6 18 12 172
1 70 7 171
5 186 6 194
1 40 2 85
4 141 4 195
2 133 3 135
5 92 12 108
10 86 12 96
5 177 7 185
2 50 5 75
8 185 9 190
5 106 9 192
9 12 10 156
9 70 12 79
3 96 4 165
0 189 9 191
10 112 12 200
2 182 3 184
2 76 7 158
2 130 8 160
11 85 11 87
5 75 10 163
2 35 3 85
3 151 7 155
10 51 12 162
7 44 8 115
10 106 12 174
8 155 12 187
6 65 12 92
3 69 6 69
9 80 9 128
9 197 11 199
0 163 12 196
7 75 9 175
2 4 2 152
11 25 11 181
5 44 11 199
0 107 5 153
7 75 9 150
10 72 12 193
7 146 12 167
6 98 6 182
0 85 6 166
1 122 1 169
8 187 8 198
11 52 12 174
3 90 9 191
7 53 7 91
5 56 8 111
0 1 8 82
10 189 11 190
10 175 12 196
0 75 8 181
5 62 9 169
1 64 3 87
2 4 6 52
9 168 9 187
5 130 8 197
7 191 11 196
1 166 11 183
9 76 11 144
3 8 7 82
7 162 8 189
1 21 11 185
3 51 10 93
7 32 11 189
2 20 5 146
2 89 12 154
5 30 9 116
3 91 6 178
6 113 7 151
9 181 10 191
5 176 9 190
4 104 11 118
0 195 11 196
11 126 12 143
11 47 12 82
4 19 12 106
6 38 8 120
11 83 11 91
8 96 11 181
0 60 8 111
8 44 10 118
4 156 8 198
5 176 10 180
7 177 7 185
2 99 8 117
6 113 11 128
4 182 9 187
9 170 11 177
5 131 9 152
2 77 10 171
6 2 8 128
2 89 7 108
2 52 12 192
0 133 11 160
7 78 12 157
4 91 12 175
1 169 5 196
10 140 11 158
4 174 7 185
11 178 11 198
7 163 7 200
11 43 12 117
9 125 12 129
7 70 8 195
2 114 11 158
2 111 4 125
1 79 11 197
11 75 11 173
8 182 8 199
10 179 10 198
1 107 4 161
5 183 5 196
6 64 11 102
9 91 10 190
9 45 9 111
2 199 6 200
11 173 11 178
5 48 10 165
11 72 12 166
8 38 12 95
5 150 12 194
11 196 12 197
3 175 4 189
0 73 7 107
8 63 12 99
10 178 10 181
7 177 10 185
0 7 5 84
0 1 8 162
6 166 10 189
6 192 12 196
9 132 9 196
3 98 8 145
9 146 11 199
8 129 11 134
8 165 12 171
0 192 5 198
10 25 10 66
4 108 11 144
9 7 9 169
1 124 9 141
10 143 10 160
1 19 2 100
2 68 2 77
9 40 9 171
3 102 9 169
5 131 8 173
11 138 11 192
4 114 8 136
0 131 6 148
6 11 7 165
10 56 10 127
3 36 3 78
3 64 12 152
9 185 11 200
11 155 12 179
9 153 9 173
6 160 7 191
10 64 10 124
11 189 12 192
1 135 1 153
11 173 11 191
5 31 12 104
10 112 11 113
9 83 11 185
2 16 6 75
7 180 7 194
1 84 9 144
4 166 5 177
11 171 11 193
6 88 9 198
5 55 10 181
0 45 2 71
4 79 11 152
10 96 12 149
6 11 6 38
0 198 2 200
9 83 9 168
10 146 12 165
1 64 10 84
9 198 12 200
1 23 9 127
7 128 10 151
1 84 11 114
5 67 9 197
6 2 10 198
6 28 6 143
8 33 8 39
7 170 8 192
7 94 9 157
7 197 9 197
2 127 6 138
0 15 5 155
9 5 12 191
0 40 12 89
8 0 12 171
10 3 10 189
10 178 10 183
6 14 11 29
8 28 11 112
11 98 12 134
9 108 9 121
0 38 7 68
2 193 7 200
0 5 6 72
1 87 2 139
8 21 11 129
3 86 7 157
0 58 1 179
4 49 5 189
2 28 2 191
2 58 12 109
10 35 11 69
3 198 8 199
8 1 11 105
1 45 2 91
7 12 7 68
0 79 6 106
6 96 9 135
5 167 6 181
11 110 12 174
3 75 4 145
7 177 12 190
11 4 12 134
8 3 10 113
2 84 4 186
5 27 9 148
4 161 9 193
5 95 11 172
11 43 12 146
2 178 11 178
9 177 10 189
11 91 12 166
4 198 11 198
2 15 5 199
10 99 12 183
6 128 6 188
7 196 7 199
3 36 3 73
9 74 12 106
2 71 12 132
10 131 11 141
10 125 10 174
1 58 7 152
2 10 5 63
7 195 11 199
3 2 6 12
6 180 7 186
6 23 10 157
4 59 9 191
9 198 11 199
0 190 1 199
1 151 7 158
10 44 12 52
1 0 5 48
9 162 12 167
7 143 10 168
9 42 9 178
10 117 11 177
4 41 5 135
7 106 10 162
6 115 11 160
6 124 6 172
9 134 10 198
6 103 8 166
3 121 4 191
0 147 11 192
5 60 9 153
9 176 10 189
0 114 11 147
11 148 12 190
0 147 8 191
1 42 5 200
0 106 3 133
11 132 12 157
8 36 12 141
10 113 11 132
10 141 11 154
0 180 5 195
8 173 10 181
4 102 11 199
2 171 11 187
10 55 11 190
3 173 5 187
10 139 12 143
9 114 10 190
6 43 8 48
7 32 8 122
3 11 9 114
9 174 12 197
7 89 8 124
8 184 11 194
1 4 3 148
3 6 8 7
9 95 11 199
5 38 7 163
0 49 6 65
6 154 12 157
8 129 10 129
8 93 11 123
11 70 12 177
1 134 9 181
3 163 4 186
7 15 11 97
10 90 12 140
8 55 8 157
3 102 9 135
4 73 9 168
0 3 1 117
4 98 4 114
4 153 5 183
8 119 9 184
3 88 9 100
2 111 9 157
7 110 12 170
11 131 12 132
5 43 6 49
2 79 3 190
0 79 4 89
1 26 7 188
10 165 11 198
5 121 10 191
5 137 11 194
6 117 6 127
6 180 9 192
6 152 8 156
11 174 12 193
11 185 12 186
1 69 5 155
5 65 11 172
10 126 12 179
2 189 9 200
10 95 10 107
3 170 3 183
1 77 12 142
6 132 7 178
8 112 12 179
4 106 4 118
0 108 7 114
1 145 4 196
11 41 11 189
5 23 12 102
3 102 7 173
6 30 6 40
10 61 11 176
1 173 5 190
1 15 7 133
2 73 10 119
1 94 4 128
0 136 11 161
6 139 7 143
5 126 6 187
3 31 5 187
6 76 6 183
6 46 7 152
3 41 11 74
11 185 12 189
3 130 5 146
0 112 9 171
2 184 5 184
3 35 12 64
4 113 10 168
10 8 10 124
5 127 7 132
1 45 9 108
1 145 1 147
0 31 4 40
8 175 12 175
8 66 10 84
1 92 12 135
8 52 10 104
7 193 7 200
7 86 8 158
1 18 7 152
4 20 11 115
7 100 8 185
1 121 11 123
10 93 11 128
4 39 10 194
9 131 9 149
1 158 4 164
7 131 8 196
1 20 6 54
5 14 5 76
11 139 12 163
2 181 3 187
9 28 9 174
5 39 8 50
6 88 7 173
10 84 12 190
3 95 3 176
3 105 6 121
7 155 11 171
4 40 10 40
3 144 8 145
3 134 3 175
9 104 9 164
9 132 12 147
0 148 0 169
7 13 7 89
1 143 9 174
4 193 10 195
1 22 6 85
7 32 10 129
10 88 10 164
11 63 11 156
7 45 12 125
3 135 4 156
10 188 10 198
4 80 4 138
5 188 8 197
9 159 10 178
1 167 2 168
3 160 11 175
4 25 9 135
0 187 9 197
3 195 9 198
11 98 11 131
10 186 12 192
10 48 12 57
11 29 12 157
10 65 10 184
6 28 11 32
10 189 12 191
7 60 12 72
10 26 11 100
11 7 12 46
4 151 11 178
5 5 5 166
7 50 10 82
0 163 6 192
9 182 9 185
8 130 12 159
10 194 11 200
9 189 11 194
7 9 9 61
8 191 12 192
1 127 5 173
9 105 9 160
10 144 12 169
7 195 11 197
8 56 9 164
7 175 10 183
8 34 11 85
10 180 11 198
6 74 8 156
11 179 12 185
8 98 11 157
11 95 11 158
3 44 4 92
3 162 9 168
11 109 11 157
9 3 12 80
1 110 6 167
1 71 3 125
2 20 11 152
10 157 12 196
10 141 12 158
0 12 6 57
7 129 8 156
8 114 11 123
4 190 4 198
5 156 11 180
2 37 3 79
7 19 7 34
6 47 11 138
5 198 10 200
6 89 10 167
7 81 10 92
4 176 7 193
0 128 12 162
0 140 0 184
7 134 10 164
1 108 2 148
2 111 5 117
0 118 0 126
0 14 1 78
4 110 11 157
3 69 6 155
6 197 12 198
9 53 12 75
8 43 12 81
9 17 12 164
3 112 12 115
8 86 9 130
6 151 8 160
1 125 9 162
9 36 11 60
2 167 2 177
4 183 11 193
2 31 3 154
5 132 9 176
3 33 10 64
1 95 7 162
4 112 5 155
11 142 11 155
6 14 11 39
10 181 10 184
6 137 6 154
1 117 8 134
6 149 8 178
5 2 11 175
10 199 11 200
5 12 9 17
10 7 12 182
11 76 12 133
7 36 11 200
4 39 10 118
1 8 7 120
5 95 10 157
1 32 7 84
7 78 10 180
11 69 12 144
2 60 10 96
3 124 11 159
4 92 4 177
9 128 9 199
1 13 3 117
1 53 8 101
5 89 9 178
6 31 7 192
2 81 6 173
8 94 8 167
1 148 5 167
11 50 11 158
4 135 8 197
4 185 4 198
8 57 9 77
10 151 11 175
9 19 11 130
5 80 8 80
2 24 3 155
1 123 8 166
3 82 3 132
10 194 11 194
10 129 10 187
9 174 12 186
9 92 12 149
5 187 8 188
6 24 6 90
0 93 1 183
10 15 10 131
1 190 1 193
5 57 11 186
10 124 11 170
1 36 5 150
0 19 5 62
8 100 8 135
1 111 2 160
7 157 10 197
6 29 11 155
4 10 5 40
5 68 9 183
11 35 11 129
4 152 9 154
11 193 11 197
10 54 10 123
6 190 11 192
9 130 12 166
7 198 8 198
3 53 3 124
4 173 6 189
7 126 11 137
7 88 7 135
2 17 8 27
7 132 9 172
2 153 2 158
6 87 9 113
0 53 2 182
9 56 9 190
1 56 3 97
8 36 9 106
6 102 12 104
9 124 10 160
8 113 11 138
4 82 10 130
3 129 12 135
0 154 7 166
0 69 0 87
4 77 9 176
9 78 12 79
2 0 6 86
4 54 5 166
3 75 6 145
5 153 10 166
10 157 11 189
4 163 12 181
6 101 9 169
3 3 3 99
11 170 11 183
2 165 5 185
2 182 2 196
7 65 7 146
11 148 11 185
11 185 12 197
2 46 9 60
10 189 12 192
0 50 3 171
8 34 11 108
8 135 8 162
9 116 10 190
6 79 7 133
3 151 9 162
6 84 8 117
3 50 12 106
10 173 12 200
4 34 12 36
9 64 11 82
4 148 11 191
8 24 11 194
4 122 4 165
4 137 9 172
3 90 7 145
6 149 11 166
6 9 6 96
5 8 8 25
8 93 8 106
4 198 5 200
0 2 11 91
11 2 11 126
10 171 10 180
4 95 9 199
11 120 11 127
10 108 12 164
9 5 10 69
1 40 10 167
9 191 11 198
2 115 9 135
11 100 11 139
11 98 11 118
9 78 11 136
1 111 11 119
1 44 8 124
1 11 9 97
5 54 7 72
9 98 12 167
10 45 11 51
8 194 9 197
3 148 9 192
11 105 12 196
11 112 11 141
5 157 5 197
11 186 11 198
11 142 12 147
10 107 12 171
9 162 12 186
4 113 10 163
11 74 12 129
1 131 7 157
10 30 12 68
3 156 4 175
11 146 11 165
9 184 9 200
11 183 11 184
8 18 8 182
2 89 10 132
10 67 10 96
5 58 8 136
5 157 7 171
1 26 2 28
8 154 8 192
5 188 5 191
5 72 6 146
10 75 12 96
3 26 4 55
10 189 12 199
5 33 11 187
1 120 8 125
2 12 8 176
0 115 6 115
7 140 7 178
2 102 12 157
10 149 10 186
2 4 2 47
11 5 12 45
4 107 5 172
11 186 11 195
1 138 2 152
0 192 12 199
5 106 9 175
2 147 11 192
8 108 9 188
5 11 10 179
9 162 11 194
4 193 11 199
6 39 8 72
0 80 11 192
10 41 11 187
3 40 5 170
11 47 11 192
4 163 7 187
1 37 11 65
3 22 9 138
0 106 7 126
7 147 7 171
6 151 9 189
5 86 12 138
3 150 7 173
10 124 11 140
7 193 8 200
7 117 12 118
5 156 6 191
2 94 5 139
7 121 10 197
7 152 10 160
5 180 8 198
3 181 10 197
10 106 12 178
11 135 11 143
3 66 4 179
3 9 5 114
2 179 4 181
4 66 10 98
2 19 4 45
2 55 3 76
8 2 11 72
8 77 10 122
4 188 12 193
5 4 9 194
6 165 12 193
3 149 5 162
3 65 5 162
3 173 10 177
7 106 10 116
1 163 11 174
9 3 11 51
7 64 8 180
1 20 2 38
11 123 12 170
2 173 3 173
6 164 8 169
0 155 4 162
0 37 4 181
11 107 11 184
2 47 8 172
0 173 1 188
10 65 10 164
0 139 11 151
11 85 12 131
11 11 11 86
9 42 10 151
0 67 11 115
0 184 12 185
11 72 11 160
8 164 9 171
3 154 12 160
5 48 8 175
6 180 8 190
8 7 12 141
7 127 10 152
10 13 11 129
0 110 5 183
1 6 4 61
3 154 9 181
1 118 10 128
9 20 9 138
4 121 4 155
2 159 12 164
1 46 6 70
0 9 8 51
6 68 8 148
11 126 11 134
11 177 12 191
9 135 10 149
10 139 11 196
6 197 9 200
7 10 12 39
2 170 10 171
2 8 10 105
5 62 12 198
8 120 8 159
4 30 5 123
3 182 6 192
0 112 3 134
1 171 10 195
9 42 11 46
11 166 12 167
6 64 7 117
6 101 8 127
6 40 6 58
11 95 11 170
10 165 10 193
4 175 10 180
9 109 11 156
2 173 12 175
0 190 11 195
8 24 10 150
5 93 5 190
11 105 11 152
3 35 6 77
10 13 12 70
9 32 9 95
9 128 9 185
9 175 11 182
9 44 12 100
3 30 9 186
0 71 8 183
0 19 11 42
5 194 9 199
9 11 9 80
11 84 12 164
1 88 11 176
9 40 9 157
6 143 11 150
5 175 5 197
6 17 11 68
3 147 4 190
3 101 9 122
3 21 8 82
7 168 9 184
11 107 11 107
3 21 6 168
5 142 5 184
10 68 11 123
4 63 5 199
6 81 7 173
8 168 12 194
0 165 6 183
8 160 8 199
1 153 6 189
5 44 5 69
8 105 10 187
4 186 5 199
0 13 3 194
8 191 9 195
8 197 12 199
9 150 9 150
10 131 12 140
9 121 10 190
6 136 8 159
1 4 1 184
1 94 8 94
3 115 7 115
11 199 11 199
2 146 10 197
9 87 12 194
5 124 5 191
0 101 5 119
6 11 8 141
2 122 8 151
5 164 9 194
10 170 11 191
5 123 9 132
7 138 7 150
1 94 4 119
2 19 10 90
2 49 7 49
5 151 5 158
1 193 1 199
7 62 12 94
11 27 11 157
8 13 9 55
0 178 8 179
9 183 11 198
3 25 6 80
1 116 9 118
10 75 12 197
5 63 6 85
0 114 1 137
6 64 10 174
11 117 12 149
4 46 6 49
6 139 12 192
11 60 11 79
7 11 10 110
9 197 11 200
4 194 10 199
10 182 10 185
4 170 6 194
1 93 2 115
10 150 11 198
0 197 9 197
3 37 6 50
8 53 9 69
7 139 10 200
2 140 12 141
5 19 9 75
9 192 11 198
10 136 11 187
1 128 8 163
1 143 6 200
3 1 8 119
6 34 6 42
9 26 9 189
4 116 8 137
10 189 12 190
0 162 0 199
5 94 12 183
7 0 7 70
1 151 7 155
0 89 4 113
7 14 7 168
3 169 7 197
5 195 6 196
8 35 11 115
2 11 6 87
5 59 12 94
6 8 9 157
2 60 7 88
3 175 8 187
5 75 12 169
11 185 11 189
2 10 7 70
0 76 8 137
8 74 9 107
0 19 12 128
10 106 10 114
11 176 11 191
11 114 11 184
1 118 1 167
3 174 8 184
11 68 12 86
9 171 9 179
11 168 12 194
3 0 10 56
10 36 10 198
7 137 10 156
0 99 1 117
4 105 11 122
4 199 12 199
9 176 11 200
8 159 9 169
1 69 1 171
1 54 11 71
5 136 10 192
7 166 7 171
3 23 6 34
1 75 1 105
9 116 10 121
0 145 4 180
6 175 12 198
5 73 7 96
1 183 11 186
10 187 12 190
9 175 11 184
3 118 3 146
0 117 9 166
8 140 8 199
3 147 5 147
5 119 5 151
7 109 11 176
10 156 12 161
5 162 7 167
10 109 12 160
9 121 12 135
9 104 12 174
1 153 7 180
7 31 8 163
5 197 11 199
7 199 12 199
9 8 10 194
8 181 11 182
5 18 12 119
4 166 11 174
5 176 12 196
2 5 12 102
2 72 9 124
10 101 11 134
10 187 11 195
4 172 12 179
5 182 11 195
5 28 12 137
9 26 12 84
0 30 1 144
2 27 12 112
2 37 2 37
7 169 9 178
5 45 7 165
5 5 10 145
6 168 12 194
2 115 3 132
5 11 6 123
8 41 9 161
9 175 9 189
11 138 12 162
11 83 12 159
6 85 6 194
10 9 11 127
7 129 10 174
8 168 10 176
7 38 9 41
4 120 11 141
3 139 5 157
0 144 12 194
4 60 12 99
2 18 2 53
9 60 9 110
7 176 12 180
3 150 12 162
2 141 3 164
0 169 10 187
3 58 6 165
2 121 10 164
5 159 8 161
3 106 7 153
0 45 11 75
3 72 7 145
8 77 8 123
4 20 4 21
5 3 10 25
2 42 2 98
2 109 12 186
2 2 6 126
0 111 3 139
0 135 9 138
10 96 11 120
6 86 8 181
10 149 10 173
0 40 10 162
8 134 12 195
1 92 5 132
0 27 0 89
3 195 6 195
11 38 11 77
2 157 6 158
10 114 10 157
3 81 12 97
8 27 11 170
2 141 7 157
9 148 9 181
10 158 10 163
9 66 10 174
5 7 5 73
7 30 12 139
8 78 9 155
2 95 9 144
5 64 6 100
10 96 11 182
5 21 6 58
7 167 9 184
9 75 10 176
6 160 6 163
10 182 11 197
6 185 11 187
3 23 12 139
8 149 12 149
9 134 10 186
9 121 10 183
10 170 12 175
5 37 8 89
8 61 11 108
4 179 9 183
11 184 11 187
8 169 11 197
2 24 4 128
4 140 6 192
9 181 11 182
11 198 12 199
10 36 11 132
11 112 12 141
5 107 7 109
0 7 0 59
4 116 5 166
10 76 12 170
5 60 9 66
0 16 3 148
7 19 7 49
8 83 11 194
2 198 8 198
11 13 12 178
10 145 12 172
7 73 10 130
9 69 11 145
3 155 8 191
5 138 12 183
8 139 9 179
10 31 11 146
11 66 11 128
0 19 11 31
5 198 6 200
3 21 4 101
11 195 12 196
2 131 4 178
7 3 8 15
2 50 6 53
1 131 5 131
10 76 12 200
8 4 8 193
8 85 12 146
2 25 5 114
10 191 11 200
0 36 2 150
2 187 10 192
3 93 5 196
5 179 7 194
7 198 11 200
5 38 6 165
2 129 5 184
3 24 8 160
0 188 2 193
8 109 8 155
11 153 11 169
3 158 10 174
2 115 10 119
0 96 8 144
10 43 11 146
2 4 7 128
8 17 12 171
8 101 11 110
3 124 7 167
0 79 9 119
1 46 11 199
11 104 11 138
4 61 6 128
7 55 8 114
8 84 9 143
7 96 10 183
7 196 12 198
8 19 8 36
8 17 8 143
8 127 10 156
8 172 12 187
10 93 12 192
7 128 9 177
4 40 8 60
3 145 6 159
6 107 11 190
6 9 8 122
6 82 9 136
1 38 9 58
4 149 6 195
4 146 12 196
0 164 7 164
5 51 12 189
11 120 11 196
2 47 3 150
7 192 8 192
8 0 11 104
4 89 8 99
2 9 11 81
4 104 8 179
11 196 11 196
5 155 5 160
2 142 2 199
5 2 6 86
6 117 9 186
1 34 9 197
4 193 9 196
6 4 11 67
5 98 8 128
8 24 10 184
7 165 8 181
1 84 1 112
7 71 11 180
10 78 11 188
0 61 3 131
4 64 5 164
10 43 10 110
1 178 7 195
2 60 4 76
3 197 3 200
11 153 11 183
3 25 8 83
5 197 11 200
5 99 10 193
4 182 5 192
8 170 12 188
11 100 11 158
6 121 9 129
5 46 12 79
2 192 4 198
4 138 8 174
4 121 4 159
0 146 9 166
6 90 10 100
3 99 11 140
0 187 10 187
0 170 5 187
6 64 11 198
11 52 12 73
5 117 10 123
1 51 2 89
7 120 10 181
10 98 11 136
2 1 9 88
3 17 3 148
9 119 10 154
8 87 9 174
8 27 9 132
3 41 4 112
4 15 6 140
2 48 9 179
7 176 8 176
9 63 10 64
3 185 8 200
6 78 12 135
1 115 8 189
4 94 9 166
1 161 8 195
9 47 11 193
8 20 9 116
5 196 6 199
10 177 12 187
5 186 5 187
5 96 6 180
3 83 12 113
3 80 9 136
2 108 6 121
8 108 11 114
5 57 10 190
2 40 6 91
11 95 12 153
7 55 9 172
6 120 7 183
9 45 10 96
2 39 9 134
6 165 12 188
1 161 5 189
9 161 9 163
7 19 7 118
1 161 8 193
0 94 11 175
4 189 8 193
9 58 10 108
10 95 10 153
7 18 7 168
2 34 6 94
7 22 7 167
5 103 6 191
10 54 10 191
6 113 11 121
6 129 6 146
