5000 5000
11439 11028 1051
10841 16372 1907
8166 12599 615
6038 10126 1173
11000 19532 326
12733 19891 1473
11318 7367 804
18731 17907 1340
17975 18504 1693
7668 9287 1592
7453 14988 963
6731 9123 233
7090 8304 36
3441 5204 1716
11792 5743 1996
5158 10276 1479
13827 8670 1554
9716 14310 983
19430 14324 182
2589 19331 458
522 5064 960
19044 7982 1447
16688 1783 1224
19916 10992 1069
6934 18923 1940
2063 11057 839
13433 2373 530
5575 9594 1587
17157 15729 1354
1743 7794 1338
5885 10156 1811
2323 17078 211
7727 18108 402
10415 8332 1776
19842 5772 985
17900 10896 429
15194 6742 972
171 19780 1315
18517 19374 535
10811 8805 1520
16848 4571 549
14125 8233 260
3906 11217 1197
19202 10656 1218
2977 8276 559
13909 5341 429
7354 9411 677
12115 3624 1760
13884 10695 116
6520 13802 1290
16239 17831 631
9875 6601 255
2802 5129 176
10777 14059 1126
13696 4525 399
11352 17686 844
84 401 610
12308 1691 449
13614 19700 682
12023 10369 46
6597 2788 501
15400 13624 82
1547 14499 206
6340 5387 99
623 2780 799
18675 12768 484
13593 5472 1030
6436 18974 705
16072 12824 1687
12123 17408 810
13580 12413 1055
11289 10715 787
17967 12655 1098
1078 10171 350
4300 8692 1092
5008 5418 1060
9465 8066 207
7469 13089 1088
10895 16877 1447
13692 608 616
13648 3115 1827
2838 17583 432
16832 16965 671
17772 3195 1699
7635 8794 235
12020 5395 1334
15988 12074 16
19047 18394 1286
7590 11238 1766
9191 15585 1197
8446 18671 817
12116 1065 941
748 14083 1
841 2222 279
10162 7126 542
19673 18180 1310
16042 16394 490
16166 4796 1125
7154 3173 1554
18327 6274 1760
6925 13151 1992
15442 1113 870
7526 5878 1633
8820 13985 1270
10380 1120 1346
17828 3444 1286
9749 6820 1421
19504 433 1795
7665 16677 349
14332 1994 671
19399 13132 1569
9226 9423 985
15463 14465 387
8812 10841 1143
18536 16795 299
7522 2179 52
1491 3659 1532
13345 15958 577
3110 19442 1652
18936 375 793
12676 14722 1826
10755 7816 10
16078 19644 1815
13246 6849 478
15501 18709 1921
3512 11707 1026
8548 15888 1872
14493 14006 1381
13071 10735 496
15590 2381 1288
7740 11199 1283
9578 19562 478
243 19106 624
5561 8311 1190
19723 14151 636
10694 8974 1003
8352 3352 791
7782 4014 1634
7200 3029 1134
16897 15612 1244
14621 6722 285
5100 6987 558
9355 2980 260
5054 3930 1604
10751 3968 858
17439 11552 1108
7826 3916 1251
1543 15724 115
14927 7652 1365
11820 2583 1077
1483 4824 763
5713 13235 1974
7137 16772 450
14187 6954 1071
1771 16547 417
9269 5806 1621
11852 12304 1510
5098 1165 1657
6312 16246 1914
12584 2065 1708
12669 4918 415
10154 2431 1812
14157 16386 768
18464 2679 1433
5092 72 241
4031 15267 756
9641 12272 535
12769 13432 1843
10057 17106 1936
15378 8424 544
1954 16621 259
11190 9079 89
4286 16458 1077
18488 18160 188
13563 853 845
8835 19138 1191
3800 10195 1044
3941 7194 1755
19630 15538 129
18118 9169 1668
3535 2953 1814
5710 861 1002
19812 16710 792
19862 15934 1684
12922 7888 1812
9413 18693 1104
18198 9543 854
11774 6346 298
11787 17020 555
17301 15743 1552
8303 19976 1582
11513 2270 1148
287 18045 673
7367 11018 1275
11655 9698 1269
16943 8924 1000
16207 68 321
6500 4278 1792
2964 2157 634
10173 16430 1992
17038 12177 75
1269 12615 1640
5310 19385 1101
11475 12373 149
3407 18724 534
1665 5648 1453
5256 4211 554
9608 14751 602
17471 19518 1644
1502 6309 1852
17188 2665 884
7279 14950 57
6309 14996 1774
812 11767 1327
17459 8492 1947
3948 2295 260
11735 2448 533
3926 1105 1925
6698 19281 1447
4395 18651 18
19634 645 506
11039 183 1530
1693 16342 70
10563 4188 577
9810 7427 784
13069 3905 363
13688 5939 1866
8525 9480 46
413 2095 1251
13291 19044 865
14154 6872 148
8404 14033 1609
19040 16644 1127
11007 10022 955
13610 11514 1715
9001 9423 1664
13513 10489 1127
16114 12148 518
6205 12092 91
9151 17839 464
8883 13990 1851
13926 12517 768
8747 12839 712
15698 163 1503
14841 6129 29
6763 11784 1574
17408 4171 163
2397 19781 1291
2567 13815 1919
12149 4651 1925
14011 3659 1533
10083 11481 731
5875 8409 1053
9229 17326 148
3979 18751 1216
12351 12595 487
7893 4203 304
19791 14877 1759
29 14090 614
9958 13505 62
7415 11078 1749
10264 6351 1208
11672 5846 1096
5522 225 621
1728 9838 1002
17405 14958 1499
19793 5293 745
4611 2049 1030
10227 2594 1846
19571 1366 6
1236 14635 1705
1323 179 1076
6654 374 17
4227 4002 591
11013 5027 467
4215 17740 477
11107 9053 663
8135 319 370
12803 15230 436
3530 18114 195
15898 17561 292
16660 3001 86
5724 6886 1179
8850 15869 1330
2383 4047 1493
2318 19053 1623
4396 5722 504
8457 4973 64
5035 3896 700
9085 17487 1319
12310 17291 773
8522 4890 1661
17548 18217 1210
2276 1445 1595
17710 10645 1842
18616 15095 741
9127 7038 792
9426 342 254
3360 11336 1744
14228 2990 915
12546 2703 159
12241 4708 1290
3431 17118 619
8567 10999 1773
18328 16896 1369
1383 3735 1069
19703 14523 383
7120 19250 1015
17407 17160 1564
12541 13317 684
2408 18972 65
5417 12278 1930
4203 4939 1696
6541 8059 719
989 18837 1396
136 1942 271
7378 17807 281
4561 6229 1021
18022 10789 1808
10839 8642 1743
11617 9500 1025
7112 8662 148
4104 15260 267
4165 3272 726
985 7206 1219
13560 17347 174
12877 3926 685
11503 16759 1341
19706 358 632
9607 724 104
7335 11183 271
1366 6377 1483
11344 19937 1210
17808 11458 962
8311 1429 125
13168 17184 38
3604 6549 626
16684 5048 612
9752 19017 589
12674 972 863
18545 4348 713
13083 11311 1152
12171 13508 645
7034 7940 1045
11340 17480 792
8985 16653 1943
4858 14609 495
14823 770 1014
11400 13992 1834
15902 11262 994
264 11053 1125
14842 3308 1177
1031 14518 1644
8755 13754 1325
6072 1764 1516
7141 3227 884
16659 19084 1135
19398 3468 981
167 4679 1753
1187 13089 1019
19752 19872 246
5241 19829 660
3609 18236 1235
6163 11088 855
9160 11043 339
12312 19104 1184
15750 5650 309
128 19627 238
7600 13095 1469
12363 8791 1630
8847 16706 108
14440 1946 775
8868 3639 898
17058 728 388
19513 8999 779
18253 15518 347
11958 3608 1552
11129 15972 129
18561 4596 1700
8832 17777 203
1075 9366 1861
9306 10149 328
10821 8544 1776
14819 9555 298
2919 19425 1222
4499 16220 432
9080 17544 206
2059 1051 303
7491 6433 560
283 9742 891
14816 6062 1162
6263 15060 348
9787 8916 917
10762 10723 633
16482 19030 1118
12710 14473 639
11846 9252 969
7883 10725 436
4820 4003 1189
4906 15613 1811
15195 6565 1886
6886 7231 1191
13214 8177 1574
17071 5772 449
7949 13972 1340
3512 7774 1804
19199 12085 1561
16796 4444 131
12227 7694 1422
5873 8679 1617
1865 8157 306
10672 14656 1975
15070 2885 874
10844 12755 1402
19467 18845 417
3167 19401 321
19365 2396 1170
2597 2676 668
15875 14045 634
2741 7172 348
4700 9939 977
18453 1795 1066
11296 2855 721
2757 17873 697
1297 9503 1058
17745 14382 412
18167 101 1395
843 16394 378
15946 16269 1543
2203 8006 209
14373 19882 1045
13039 13341 285
7429 6978 1501
8228 7361 1098
4119 1305 476
416 13389 913
12333 11355 108
16302 16378 15
8604 15715 831
17196 13904 1321
18116 15579 1170
946 9089 1378
10463 11695 699
16824 4909 1279
8735 2974 38
2598 5764 945
535 1342 1593
19605 8620 940
12054 1937 1077
13481 18886 1286
10898 8202 1824
10467 9552 1468
8757 1345 1184
17321 7386 192
2114 18127 222
13084 1750 1025
18224 4689 615
12227 11470 1121
7841 817 1191
5535 12409 876
5372 19916 643
19421 9554 1068
5377 3476 1412
9111 11703 365
10199 13174 1520
13331 8276 1371
11938 9548 1261
6127 1263 295
19455 17855 1654
5183 16777 1579
10824 6060 213
19956 19976 1702
8915 14593 1821
10840 2502 1953
10755 15393 1245
1295 9239 23
5318 19231 1383
11314 2240 1371
12109 12749 1377
18558 8947 1222
10595 11781 1359
3759 1110 232
854 11102 610
15693 3238 300
17313 1793 706
13801 11254 533
2694 11555 496
17122 5297 1867
435 12218 564
9492 8730 1619
3705 15356 68
12735 16474 859
16982 7096 710
18217 19808 1579
4589 18848 731
17354 6437 435
5154 13819 1960
10419 2144 1370
17972 15631 3
6244 15531 1403
19922 17964 1597
13791 7611 70
15364 9141 1730
2635 17143 1291
17723 14026 872
10320 1967 485
11499 3555 717
12864 11895 1788
8664 11073 844
15098 12514 1891
2829 2544 585
12325 12771 403
5428 11909 529
16598 2132 1566
3060 14284 1564
18869 18042 48
13221 18209 1541
9084 15006 568
16062 8127 1942
557 11654 260
15323 19411 984
16827 4660 56
16065 8211 168
13455 18023 167
12216 6952 84
1464 906 613
6157 10749 1242
17009 17125 342
12553 17534 500
12060 19766 1269
14031 6216 1986
16629 6455 603
95 9623 1747
15699 2951 483
3224 5192 405
3300 11064 1829
17093 12427 632
18167 4220 77
4320 15802 1402
6216 4396 1275
10230 15882 892
1668 1409 462
10472 14295 1112
195 19060 916
10807 3844 487
4283 12129 1818
5282 6989 575
581 210 1562
19551 847 153
9043 6084 493
17396 3861 389
18121 12464 1372
13367 515 1956
575 4548 950
16753 18989 17
2767 319 274
18276 1694 1078
3897 158 559
5179 10856 1748
10602 10666 558
3599 9586 788
18035 4165 51
1033 6343 437
7938 17606 1457
11868 16639 1759
1298 13783 262
8215 7792 543
887 3886 1413
19147 18192 45
11391 3814 1042
10672 3247 175
9608 1052 1682
17774 297 1602
16774 794 1174
9498 3504 1638
11326 16247 1871
19398 13253 1746
1269 6758 950
10244 7351 1634
11647 16933 886
18836 7117 1987
11327 7544 1241
2125 13738 1200
16104 1513 839
11725 1216 1525
18009 12514 1529
18889 9093 1024
17764 13535 553
11788 15348 1689
2596 3342 1375
14320 14591 979
7675 19209 509
5735 496 169
12505 13254 438
14802 3408 744
12735 15547 906
16167 9441 1328
16670 11254 1125
18659 680 37
727 6219 1075
12358 13628 34
17478 4750 1935
6917 16896 1426
458 10241 787
19868 4639 790
3484 93 1077
12402 3251 1675
4442 18748 1347
19426 8758 1677
12105 14300 821
10228 5437 674
18511 1566 1665
15000 3240 861
16706 10176 1016
10076 3438 1982
14967 5711 694
14153 17403 1103
5727 7177 1089
17727 14079 451
401 13149 526
17533 3209 1993
16016 5047 31
16415 2210 304
7687 3451 189
10984 13096 1571
1158 1025 945
14834 4157 1191
2210 17973 1747
18728 7781 165
16351 8828 699
8548 14184 1456
8717 5330 301
1056 19245 1935
1345 11860 1947
11518 19414 290
14387 16826 229
4086 18934 466
12331 18236 1423
15461 5981 1699
2766 7999 978
14079 681 150
7362 3113 1820
8873 11785 852
17186 18512 1801
1622 12218 1554
18351 11123 940
3523 163 48
5571 14406 804
10837 5427 1947
18407 5280 768
2107 7906 483
14533 6254 1372
531 14136 1275
5808 15421 1729
18116 13890 878
11696 15241 631
17668 15734 1389
15180 1023 1626
8933 13730 1302
8471 14715 1716
19889 350 1830
15502 11913 1525
6965 8090 81
18569 16147 1033
12252 16478 332
11405 14462 1166
19535 5126 1359
15582 7816 1881
8240 2929 340
7862 19740 1830
17992 13264 1007
12847 12104 1910
7858 7836 1459
16076 14787 319
12672 5376 548
5109 176 239
13436 15919 213
18934 9317 1565
830 1598 1629
1930 748 1315
876 8299 1631
2281 16853 1821
19502 12283 1643
3184 11483 1751
17311 3432 1658
7961 10250 1595
13365 6519 1712
18616 16171 99
303 11510 198
1742 17425 95
5623 6100 1866
18935 15692 917
2344 19277 447
12823 15570 1019
17710 18779 732
14188 1888 862
13444 5495 746
15190 4220 1845
2817 4459 1229
4601 16800 718
2545 13381 855
12478 2238 106
5906 10303 398
4164 16724 484
6940 17426 1996
15445 2810 1530
1808 15991 552
4385 8523 284
13338 16463 1333
15949 3225 545
16748 6530 1494
11338 2986 442
18466 18039 1192
318 335 1876
15973 13958 519
18174 1461 1376
13764 7406 1626
3791 19245 1866
6781 6595 1590
6861 11771 1382
18905 15080 551
7065 1500 1609
16894 4460 944
6923 5656 58
11894 19010 342
15084 15461 1071
16961 8466 1242
1360 3054 1174
16845 9483 1868
9875 8203 1568
18413 18020 1319
4299 6176 1115
723 5976 1576
5022 12964 608
2667 6669 642
5558 6212 1838
11495 9944 528
5795 15987 668
2980 7745 1347
18815 16660 990
3370 17722 79
11657 19431 634
10458 6109 831
2176 12352 1403
2584 208 483
7086 8691 1425
10406 653 38
8871 3369 1617
14920 16083 1234
4189 15842 578
3299 777 781
19100 13684 1320
7600 8723 1820
19979 6672 1176
9738 4063 1023
1778 15924 809
13086 15606 471
18954 19739 971
1444 12790 1357
4363 15559 564
5201 1706 1238
15120 13886 611
5946 1078 351
5088 4176 84
7985 198 1007
54 7633 193
3239 13937 145
15609 13609 1282
10616 14444 440
8123 357 8
8314 12338 1931
16778 1067 1835
7916 8288 318
1831 9039 1089
17044 13292 383
11917 16416 495
5849 5155 1945
2942 12649 723
14497 10006 438
17194 10742 43
4372 3374 644
3256 12905 1217
7758 5150 1271
7510 15360 1728
14392 18783 603
17023 8114 1716
12348 5732 560
17141 9666 305
11602 2830 122
5204 15501 416
17270 805 674
85 13760 1230
15688 16312 1816
8473 7332 1217
9719 3871 865
7831 17778 161
14537 14120 1828
11369 14106 246
17473 1038 1216
2253 4584 1375
7673 13723 440
1916 6937 1011
16196 17328 757
18854 11265 368
10073 13598 1526
2390 19451 1114
98 5709 1665
1088 6236 1357
2548 14359 1179
5368 16208 145
3866 15288 1204
4332 7851 1697
3462 1288 997
4078 13651 489
3785 12276 1920
10966 19325 1984
15032 11482 744
1577 10566 358
11339 8671 1114
11514 11201 1855
11078 2350 1769
14832 7354 887
11245 7835 1339
19963 1046 1835
19801 17260 927
13265 9333 746
3124 4019 954
5643 4161 1218
5653 16647 176
4539 8488 428
16740 9844 123
4080 13973 618
5988 4215 24
15166 6512 488
2105 10108 1478
18942 18653 34
9919 9706 1099
8530 18552 1188
8719 19256 1036
162 12541 1931
13063 3994 1677
715 16942 269
16824 3569 292
5032 10079 1385
10249 1419 1895
16772 7332 75
8187 19262 1908
3376 3942 1954
6771 13921 1858
16517 16087 1225
16155 4704 1809
4261 2465 1540
19829 15180 1246
1779 10566 357
10815 8195 280
10880 15830 1430
2803 18727 1864
7174 19556 381
8005 16820 171
7886 196 423
7121 16681 1251
1897 15931 1518
6134 3465 1470
18752 4385 660
6648 19340 101
371 3639 925
19318 734 1596
10508 17805 1928
14359 4998 1821
237 19759 827
5399 17661 997
7715 6105 838
4964 10359 872
5279 116 303
15623 14172 1848
2983 18531 1775
7001 19090 1968
16913 11138 1743
3087 2655 277
13895 19203 388
2737 17708 1757
2544 668 556
5460 148 290
16703 1275 912
14330 14282 619
2673 8522 720
8958 5847 950
19488 159 460
16982 9990 1568
1583 19799 5
15725 4909 1424
16095 14690 1910
4449 17043 1235
3666 4364 181
18051 6607 694
2440 16062 1113
4093 15905 1073
15854 14117 863
7127 17857 362
2032 17174 1375
18516 12213 1999
8628 1268 1332
5034 7841 737
6527 10333 1197
1414 17865 695
14745 6932 238
6586 4505 608
13363 13571 383
14106 12321 324
11601 1139 1321
5314 11788 1876
14127 11164 1140
4956 9370 109
9857 19364 1006
14883 18055 1132
2596 19803 1018
8560 1253 1447
16938 10642 370
14126 3790 694
4776 10538 1299
11167 3304 469
4393 10209 1928
13113 17189 180
494 10892 459
6651 14620 187
17569 8252 1188
848 1242 1347
756 12734 623
6004 19111 1727
6136 7699 589
2398 19069 1302
14290 8480 417
12616 4912 1827
18900 19360 429
5921 17248 930
11166 14278 421
9257 1670 61
19368 14442 1244
4097 5905 1840
19878 12851 1847
7894 16876 1456
4426 18434 28
5367 9870 1877
7041 2188 1445
13400 2398 1378
7761 8422 1882
16647 19545 1404
7730 7471 283
1359 10235 319
11643 4242 1005
17962 9307 1850
6019 2695 1415
8674 13373 1157
8715 7266 435
19827 4066 922
17848 16326 1966
12469 5691 1736
1316 18847 895
13640 17882 1038
16408 16774 1018
18224 4965 314
14162 16484 823
604 8586 450
1438 3304 1205
7590 15935 440
12076 5367 567
2996 14841 563
13412 13770 1108
13243 13638 194
15451 10367 1629
2218 1150 1293
6145 19700 612
9024 6883 1118
4252 19208 547
18390 19698 676
16337 17929 71
19417 7674 678
16068 3348 54
19364 352 1276
11378 8407 1653
16326 486 1236
17171 7782 249
11484 329 767
9986 4295 1171
16554 9441 1085
3786 167 944
5011 12626 201
9051 10327 1568
1040 17785 307
18366 16236 1781
18510 1655 723
11849 6624 1321
17407 4070 635
17425 6608 163
14939 5864 1167
1316 11301 1628
8891 7281 1540
10503 9499 348
13577 16580 0
6169 13032 300
17169 2687 488
9149 2760 1812
10129 7791 1221
14948 10885 1293
13630 8723 560
2507 13254 756
19068 5487 1566
8803 3102 781
12553 13467 695
4518 3122 1186
13597 18022 979
6616 15975 1270
14504 1289 1647
7868 13414 146
4 601 150
1746 17226 1097
1229 19977 861
13639 13247 711
16514 19340 819
7087 8455 1664
10043 2031 20
13222 2964 1534
11995 4222 136
13394 3204 1962
10275 6541 1609
12354 13173 1578
9047 877 318
19826 12479 47
2959 2133 513
13084 18546 1144
9981 18443 261
17975 12857 472
15355 3498 1184
9202 2148 1875
3912 7312 1274
5402 1894 601
7535 16138 1090
18445 2786 1654
19717 19664 599
2008 15281 880
12800 1955 1929
7907 19311 15
5877 9387 738
4186 19606 1096
18736 10380 1573
12837 2755 1397
14953 14337 983
972 16603 1938
1334 852 864
14740 8987 1637
17603 11911 1233
12880 7422 407
18207 5191 1653
10362 14788 1575
17663 16767 655
16687 17384 1284
3969 19702 1598
7684 6060 1630
13193 7488 1814
19800 13571 1663
11932 6099 1597
14005 17620 696
18774 13897 1501
16850 9103 1679
17820 19419 1199
1234 4828 394
2811 7572 1175
19794 1645 1915
10940 16021 1656
7072 14056 1488
6580 18493 1764
219 17092 774
19149 1169 1686
10232 5529 983
16685 8566 911
17680 16812 440
10230 8019 383
4028 2235 334
8433 5058 1451
1856 4794 1924
11412 3678 1643
338 6106 277
8230 9342 1833
9911 17985 1916
893 2120 1621
5882 9267 1310
8545 17336 53
5250 1237 519
19720 573 1088
4366 14825 327
14876 10392 1926
1586 10470 1821
10419 8516 1848
16577 15634 812
6554 5640 1948
1553 2702 1265
17669 19580 1218
17206 7275 1031
15377 3496 1405
8493 909 712
14819 15992 1370
14467 7400 620
7972 8766 652
17710 14011 303
2655 9556 1274
13879 8543 1155
12105 5883 1611
6893 2628 290
12966 9486 1690
17538 4654 1560
13653 11252 1992
3399 8400 820
5395 12338 1712
9596 1620 525
14389 9188 91
5062 10604 644
4119 7625 221
17737 6427 938
10419 8982 1844
3088 9880 311
1216 14090 669
14805 9762 73
1609 533 1151
8095 5833 600
8637 17300 1784
16479 14918 240
7435 16433 406
14506 2174 1630
5166 5160 1930
2208 17996 590
5593 2888 115
7577 8888 626
138 17822 1685
12583 2728 300
9704 3436 563
4385 15390 1337
4149 18962 1208
15864 13423 927
9395 8544 136
18846 6890 111
2079 7671 1430
9998 6617 1813
1369 5366 1768
9372 9310 160
11939 14564 1677
2269 11427 1632
17843 1863 289
18118 7646 847
14663 4365 293
11196 12349 1871
2028 12908 248
11660 12870 833
7891 8277 1646
16993 9022 1489
8717 8812 1245
12165 9145 956
17235 6641 1254
2822 19555 87
15609 3329 1318
90 6538 82
8437 12382 34
10989 8035 1745
7904 549 480
17499 9722 781
6278 5769 278
11322 2799 282
2915 4739 1789
3967 613 1900
9794 19400 1576
9394 8562 0
8401 4771 758
17165 12380 1885
15374 17064 217
10265 16451 1554
16383 8569 258
10422 11354 1525
7348 17949 1754
14968 14893 1980
1822 6997 884
8437 13525 878
7532 563 95
9760 6452 462
391 1541 359
9503 4622 919
14824 1511 1257
15132 18093 1989
3737 870 1298
10875 18115 1191
16445 221 940
3969 3630 144
18914 7832 1594
15480 16161 605
15356 9091 1870
13612 17957 1907
7147 7136 5
16654 12352 329
12449 18858 1852
19820 6738 501
63 2868 514
12537 125 1859
12964 17151 569
10470 18280 219
1559 2992 406
3563 624 313
8800 6412 893
10040 14147 1157
19417 18896 1798
10438 4865 904
9832 10279 1880
13408 18721 301
12799 5302 36
85 7415 368
6545 846 58
4954 14504 964
14440 18316 999
11744 3991 702
14970 15721 289
3877 9234 896
12286 17326 493
1902 1763 624
7396 2441 1664
7207 4987 567
17672 12582 1619
2491 3348 813
9278 2731 394
1587 1454 308
4878 6029 1204
19977 11469 958
7727 2172 1320
9086 13184 789
4246 6670 300
5369 19048 391
11959 18517 805
6439 2148 265
18564 9408 649
863 14188 268
9979 15091 1605
17175 5149 312
2377 6356 683
3929 2430 831
8409 2660 1641
1776 7772 772
7878 12368 1033
12044 14644 186
19310 10466 1509
3991 9459 1543
6352 11148 1745
10569 10481 1398
18432 5210 1949
14810 7864 341
5191 8135 1413
8080 1073 163
18787 1590 1806
18277 12217 1319
17072 16719 1426
15079 18450 483
8197 15050 1367
8022 19947 92
3759 2952 678
18770 19829 1542
8413 18586 665
10741 14346 698
14147 18324 701
15487 1426 1815
9360 7137 1917
1848 10309 1910
7549 5257 916
13296 5273 1888
18311 15687 1055
8475 4728 702
9315 6628 1039
231 16130 1518
15736 1979 545
4479 11298 1926
7156 16695 77
13418 7774 707
13235 16892 1867
8176 10182 917
1065 11138 1485
18393 4249 1114
15911 4000 558
8343 13605 1696
5847 12098 1924
19032 16510 826
14006 9632 1029
7182 19849 1501
10873 625 646
17204 1815 1769
8826 1711 942
15871 999 988
13790 8721 589
12146 10884 238
17852 17083 1068
18395 12349 67
18835 13333 303
436 15038 762
2650 13404 1110
16512 12044 901
6557 19836 1903
1281 19829 1521
5043 15665 1300
12568 17432 604
16335 11339 756
19445 1513 1175
16856 1251 1720
10538 11064 622
15356 2874 970
7352 10953 412
10840 282 1251
11783 2880 632
8830 16697 1984
11836 15690 740
18075 18935 1987
12358 1677 431
4457 12192 695
8666 15305 192
585 4669 1292
4801 18561 1058
10980 10202 123
12744 11729 1419
6676 17774 847
15386 29 1163
18597 3572 3
335 7318 1647
4367 13178 1602
4869 17837 1173
8307 7590 342
16688 16345 415
1148 2947 786
7207 18736 1528
3372 17854 1922
19188 9996 1290
18143 3655 1996
5759 6995 484
14092 14630 457
4355 19895 1613
5376 16249 1407
8605 18817 1474
5599 18230 719
15659 9803 822
4038 10271 1059
6311 4651 1080
8468 10880 1523
18606 10252 1202
1892 4052 781
10904 4220 1051
14911 14320 1707
12066 15047 1280
2103 12720 1356
5879 15912 735
17112 17548 843
15910 4928 380
17101 1709 1365
14815 9848 512
671 7879 803
9285 4086 571
4647 2860 673
17483 17458 1081
13538 12214 1164
9028 13477 748
6264 4546 789
14891 763 1556
15985 13625 1319
2727 7032 287
10013 8940 798
19675 8334 1732
6370 4137 773
7999 10205 180
12750 19341 225
16245 7601 223
15426 19372 1452
16015 16888 1640
9336 9659 163
15083 18126 1909
