250 150
8592 6605 19068 9843
8309 5227 9739 5546
13624 16276 15647 17914
16330 1080 17336 14998
4952 4984 12924 9082
3137 1049 19725 16415
4827 2330 12722 11833
18716 7680 18884 18112
2961 4889 6703 18041
19290 7620 19738 16336
9069 16171 12514 18983
3296 2839 5897 5894
19257 4916 19743 5116
17380 14910 19128 19940
647 15229 2972 19728
171 6271 11089 12748
15979 1354 19553 1673
19073 15726 19088 15962
2370 1828 5306 5747
10462 9869 12842 19855
11876 10223 18623 16257
17472 16597 18378 19576
12439 432 14951 13844
13967 14021 18629 18365
18136 5132 19826 18353
16219 4580 18496 17837
16968 4276 17092 12906
1634 10451 3830 11639
17555 12417 17708 16482
5848 9017 16529 18849
518 219 18406 2959
16613 12678 18585 17315
8126 16864 19517 17742
4818 8510 10461 14850
18782 6472 19917 10195
7426 14992 15956 19521
12309 5931 18510 9463
415 6606 19370 6787
17178 13973 19050 17665
4015 9596 19967 18280
8473 8926 13359 12958
7417 4176 19005 4599
2963 12181 17415 17537
2812 9860 19738 18675
4634 19628 19944 19685
17080 3953 17209 10469
19566 14447 19645 19165
6064 15753 13631 18539
9949 12813 15991 19449
9912 16931 15092 17203
12258 17493 15558 18557
12513 5159 14185 12592
2111 9265 10059 14321
9030 11162 17562 18933
8650 13544 11878 14855
9614 5692 12829 15103
11013 3405 16295 19891
4967 14417 9986 18398
18461 19607 19767 19717
16957 2383 19437 14163
19469 7775 19943 13657
1692 18554 4594 19485
13733 13406 17827 19654
13649 1072 17240 18992
16070 8835 18183 17233
15757 892 16948 8392
282 12986 12376 14923
11874 19473 15639 19574
9111 13523 10974 17752
12410 175 16202 674
11281 4654 12306 11096
12940 867 18464 8368
11257 11087 15541 12022
1167 5619 19922 14555
1723 11909 11152 13784
13755 18373 19855 19250
17596 18118 18317 19057
3855 15525 18537 18713
6854 15448 12038 16279
8611 4987 19441 5267
16709 8488 16775 18158
7384 2665 15691 10914
8980 6732 10850 18496
2120 1473 10494 14291
7141 18856 18230 19503
17626 18876 18077 19160
18849 6765 19938 16826
13068 13288 17939 18954
12487 2318 12942 4681
15198 3090 15252 8204
5318 16432 16657 16438
7560 12264 11336 19658
16586 1413 17615 18744
19638 2873 19716 15343
8247 4164 16213 14835
493 9056 11151 12401
5143 17917 6157 18048
8999 1182 10734 8475
10230 17862 12446 18308
11309 8649 12168 9640
13474 13598 14846 14750
2217 7569 17964 16592
16508 15012 18077 15075
2275 993 18841 8850
16260 6250 16801 14769
3335 17379 11807 18357
